id,brand_id,category,retailer_id,region,date_start,date_end,note_type,note_text,org_id
1,94,Breakfast & Cereal,74,India - Tier 2/3,2025-12-21,2025-12-28,distribution_gap,Crunch Cereal Co is running 44 pts below the Breakfast & Cereal category average ACV in India - Tier 2/3 — worst at ValueTrade GT (Tier 2/3) (19% vs 64% category avg).,1
2,22,Sparkling Water,103,Gulf - UAE,2025-12-21,2025-12-28,distribution_gap,Crunch Fizz is running 44 pts below the Sparkling Water category average ACV in Gulf - UAE — worst at SwiftBasket (UAE) (20% vs 63% category avg).,1
3,54,Beverages,66,India - Tier 2/3,2025-12-21,2025-12-28,distribution_gap,Nomad Drinks is running 43 pts below the Beverages category average ACV in India - Tier 2/3 — worst at MetroBazaar (Tier 2/3) (19% vs 63% category avg).,1
4,59,Home Care,110,Gulf - UAE,2025-12-21,2025-12-28,distribution_gap,Pure Shine is running 43 pts below the Home Care category average ACV in Gulf - UAE — worst at Corner Store Network (UAE) (19% vs 61% category avg).,1
5,63,Home Care,7,North America,2025-12-21,2025-12-28,distribution_gap,Silver Household is running 43 pts below the Home Care category average ACV in North America — worst at UrbanPantry (19% vs 62% category avg).,1
6,108,Baby Care,122,Gulf - Saudi,2025-12-21,2025-12-28,distribution_gap,Crunch Baby Co is running 42 pts below the Baby Care category average ACV in Gulf - Saudi — worst at Community Retail Co-op (Saudi) (22% vs 65% category avg).,1
7,3,Salty Snacks,118,Gulf - Saudi,2025-12-21,2025-12-28,distribution_gap,Prime Snacks is running 42 pts below the Salty Snacks category average ACV in Gulf - Saudi — worst at Local Trade Collective (Saudi) (20% vs 62% category avg).,1
8,108,Baby Care,80,India - Tier 2/3,2025-12-21,2025-12-28,distribution_gap,Crunch Baby Co is running 42 pts below the Baby Care category average ACV in India - Tier 2/3 — worst at Sundry Traders Network (Tier 2/3) (20% vs 62% category avg).,1
9,36,Packaged Foods,141,Gulf - Qatar,2025-12-21,2025-12-28,distribution_gap,Cloud Table is running 41 pts below the Packaged Foods category average ACV in Gulf - Qatar — worst at Community Retail Co-op (Qatar) (25% vs 67% category avg).,1
10,21,Sparkling Water,55,India - Metro,2025-12-21,2025-12-28,distribution_gap,Golden Fizz is running 41 pts below the Sparkling Water category average ACV in India - Metro — worst at DartMart (Metro) (21% vs 62% category avg).,1
11,89,Breakfast & Cereal,86,India - Tier 2/3,2025-12-21,2025-12-28,distribution_gap,Nomad Mornings is running 41 pts below the Breakfast & Cereal category average ACV in India - Tier 2/3 — worst at Bazaar Wholesale #2 (Tier 2/3) (23% vs 64% category avg).,1
12,20,Sparkling Water,46,India - Metro,2025-12-21,2025-12-28,distribution_gap,Heritage Springs is running 41 pts below the Sparkling Water category average ACV in India - Metro — worst at QuickDash (Metro) (21% vs 62% category avg).,1
13,19,Sparkling Water,79,India - Tier 2/3,2025-12-21,2025-12-28,distribution_gap,Fresh Fizz is running 41 pts below the Sparkling Water category average ACV in India - Tier 2/3 — worst at MarketLink GT (Tier 2/3) (22% vs 63% category avg).,1
14,12,Sparkling Water,56,India - Metro,2025-12-21,2025-12-28,distribution_gap,True Water Co is running 41 pts below the Sparkling Water category average ACV in India - Metro — worst at QuickDash #2 (Metro) (21% vs 62% category avg).,1
15,64,Home Care,181,SEA - Indonesia,2025-12-21,2025-12-28,distribution_gap,Blue Shine is running 41 pts below the Home Care category average ACV in SEA - Indonesia — worst at FreshMart (Indonesia) (23% vs 64% category avg).,1
16,83,Confectionery,115,Gulf - Saudi,2025-12-21,2025-12-28,distribution_gap,Fresh Treats is running 41 pts below the Confectionery category average ACV in Gulf - Saudi — worst at PrimeGrocer (Saudi) (22% vs 62% category avg).,1
17,16,Sparkling Water,191,SEA - Indonesia,2025-12-21,2025-12-28,distribution_gap,Sunrise Water Co is running 41 pts below the Sparkling Water category average ACV in SEA - Indonesia — worst at HopMart (Indonesia) (23% vs 64% category avg).,1
18,30,Personal Care,142,SEA - Malaysia,2025-12-21,2025-12-28,distribution_gap,Cloud Essentials is running 41 pts below the Personal Care category average ACV in SEA - Malaysia — worst at FreshMart (Malaysia) (21% vs 61% category avg).,1
19,77,Dairy,116,Gulf - Saudi,2025-12-21,2025-12-28,distribution_gap,Urban Creamery is running 40 pts below the Dairy category average ACV in Gulf - Saudi — worst at DailyBasket (Saudi) (20% vs 60% category avg).,1
20,2,Salty Snacks,121,Gulf - Saudi,2025-12-21,2025-12-28,distribution_gap,Bold Snacks is running 40 pts below the Salty Snacks category average ACV in Gulf - Saudi — worst at Corner Store Network (Saudi) (22% vs 62% category avg).,1
21,57,Home Care,88,India - Tier 2/3,2025-12-21,2025-12-28,distribution_gap,Cloud Shine is running 40 pts below the Home Care category average ACV in India - Tier 2/3 — worst at Sundry Traders Network #2 (Tier 2/3) (23% vs 63% category avg).,1
22,82,Confectionery,69,India - Tier 2/3,2025-12-21,2025-12-28,distribution_gap,Meadow Treats is running 40 pts below the Confectionery category average ACV in India - Tier 2/3 — worst at DailyBasket (Tier 2/3) (22% vs 62% category avg).,1
